"Publisher","DOAJ_Journals","Publons_Journals","Romeo_Journals","Scopus_Journals","maxjournals"
"Consejo Superior de Investigaciones Cientificas",37,24,36,37,37
"Future Medicine",0,0,31,37,37
"Jagiellonian University Press",0,0,37,0,37
"Natural Sciences Publishing Corporation",0,37,0,0,37
"Birkhauser Verlag",0,0,36,0,36
"Edizioni Ca' Foscari",0,0,36,0,36
"Lavoisier",0,0,36,19,36
"Symbiosis Online Publishing",0,36,0,0,36
"Michigan Publishing",0,0,35,0,35
"Universitas Udayana",35,0,0,0,35
"Cherkas Global University Press",0,0,34,0,34
"Penn State University Press",0,0,20,34,34
"Rila",0,0,0,34,34
"University of Brawijaya",34,0,0,0,34
"Human Kinetics",0,33,27,29,33
"Lattice Science Publication",0,0,33,0,33
"Universidad de Costa Rica",31,0,33,0,33
"Universidade Estadual de Campinas",33,0,0,0,33
"Universita degli Studi di Milano",33,0,16,0,33
"Liverpool University Press",0,0,32,25,32
"Peeters",0,19,0,32,32
"Universidad Nacional Autonoma de Mexico",24,0,0,32,32
"Universidad Politecnica de Valencia",0,32,22,0,32
"Universidade do Porto",0,0,32,0,32
"i-manager Publications",0,32,0,0,32
"Canadian Science Publishing",0,26,31,0,31
"European Geosciences Union",0,25,31,0,31
"Gerflint",0,0,31,0,31
"Global Science Books",0,0,31,0,31
"L'Expansion Scientifique Francaise",0,0,0,31,31
"Science Publications",0,25,31,0,31
"Sweet and Maxwell",0,0,31,0,31
"Universidad Nacional de La Plata",31,0,0,0,31
"Universidade de Brasilia",26,0,31,0,31
"University of Illinois Press",0,16,31,0,31
"Vilnius University Press",31,0,0,0,31
"Carl Hanser Verlag",0,0,25,30,30
"Faculdade de Letras",0,0,30,0,30
"Libbey",0,0,0,30,30
"Scientific Publishers",0,0,0,30,30
"Al-Kindi Center for Research and Development",0,0,29,0,29
"Avens Publishing Group",0,0,29,0,29
"Conselho Nacional de Pesquisa e Pos-graduacao em Direito (CONPEDI)",29,0,0,0,29
"Editura Academiei Romane/Publishing House of the Romanian Academy",0,0,0,29,29
"Indiana University Press",0,0,29,24,29
"MedDocs Publishers",0,29,0,0,29
"Universidade Estadual de Maringa",0,0,29,0,29
"Higher Education Press",0,28,0,15,28
"Permanyer",28,0,0,0,28
"RCAAP",0,28,0,0,28
"Universitas Negeri Malang",28,0,0,0,28
"Amsterdam University Press",0,0,27,0,27
"ELYNS Publishing Group",0,27,0,0,27
"International Islamic University Malaysia",0,27,0,0,27
"JMIR Publications",25,24,27,0,27
"OAE Publishing",0,27,0,0,27
"Open Access Journals",0,27,0,0,27
"Sciedu Press",0,0,27,0,27
"Scientific Scholar",0,16,27,0,27
"Universidade do Estado do Rio de Janeiro",27,0,0,0,27
"Universitat de Barcelona",27,0,0,20,27
"Advanstar Communications Inc.",0,0,0,26,26
"American Physical Society",0,18,26,22,26
"Briefland",0,26,0,0,26
"Global Science Research Journals",0,0,26,0,26
"Pontificia Universidad Javeriana, Bogota",0,0,26,0,26
"Presses Universitaires de France",0,17,26,24,26
"Universidade Federal de Minas Gerais",26,0,0,0,26
"American Society for Microbiology",0,19,18,25,25
"Coimbra University Press",20,0,25,0,25
"Il Mulino",0,0,0,25,25
"Muhammadiyah University Press",25,0,0,0,25
"Now Publishers",0,25,21,0,25
"Open Library of Humanities",25,0,23,0,25
"Universidad de Granada",25,0,0,0,25
"University of Hawaii Press",0,25,19,16,25
"eScholarship Publishing, University of California",25,0,0,0,25
"Acta Medica Belgica",0,0,0,24,24
"Brepols Publishers",0,0,0,24,24
"Ediciones Universidad de Salamanca",21,0,24,0,24
"Exeley",0,24,0,0,24
"Horizon Research Publishing",0,24,0,0,24
"McGraw Hill",0,0,0,24,24
"Universidad de Buenos Aires",24,0,0,0,24
"Universitas Andalas",0,24,0,0,24
"Via Medica",0,18,0,24,24
"Zhonghua Yixeuehui Zazhishe/Chinese Medical Association Publishing House",0,0,0,24,24
"AIMS Press",21,23,22,0,23
"II Pensiero Scientifico Editore srl",0,0,0,23,23
"Mashhad University of Medical Sciences",23,0,0,0,23
"Morgan & Claypool Publishers",0,0,0,23,23
"Peoples' Friendship University of Russia (RUDN University)",23,0,0,0,23
"African Journals OnLine",0,22,0,0,22
"EMS Press",0,0,22,0,22
"International Knowledge Press",0,22,0,0,22
"KARE Publisher",0,22,0,0,22
"Media Sphera Publishers",0,22,0,0,22
"National Inquiry Services Centre (NISC)",0,0,22,0,22
"SPIE",0,22,0,0,22
"Shiraz University of Medical Sciences",22,0,0,0,22
"Tech Science Press",0,0,22,0,22
"UNISA Press",0,0,22,0,22
"Universidade Federal do Rio Grande do Sul",22,0,0,0,22
"Universiti Utara Malaysia Press",0,22,0,0,22
"University of Zagreb",0,18,20,22,22
"Advanced Research Publications",0,0,21,0,21
"Duncker & Humblot",0,0,21,0,21
"Erich Schmidt Verlag",0,0,21,0,21
"Internet Scientific Publications",0,0,0,21,21
"Schweizerbart",0,0,21,21,21
"Universidad Nacional de Costa Rica",20,0,21,0,21
"Universidade Catolica Portuguesa",0,0,21,0,21
"Universitas Negeri Yogyakarta",21,0,0,0,21
"V. N. Karazin Kharkiv National University",21,0,0,0,21
"American Institute of Mathematical Sciences (AIMS)",0,0,20,0,20
"American Physiological Society",0,0,16,20,20
"American Scientific Publishers",0,18,0,20,20
"David Publishing",0,20,0,0,20
"Open Access Pub",0,0,20,0,20
"Open Access Text (OAT)",0,20,0,0,20
"Openventio Publishers",0,20,0,0,20
"SAE International",0,20,15,0,20
"Thomson Reuters",0,0,20,0,20
"Universidade Federal do Parana",20,0,0,0,20
"Universita del Salento",0,0,20,0,20
"Universitas Muhammadiyah Yogyakarta",20,0,0,0,20
"Universitatsverlag der TU Berlin",0,0,20,0,20
"WSEAS",0,20,0,0,20
"World Health Organization",0,0,0,20,20
"Zibeline International Publishing",0,20,0,0,20
"American Mathematical Society",0,15,19,16,19
"Bristol University Press",0,0,19,0,19
"Diponegoro University",19,0,0,0,19
"F1000Research",0,0,19,0,19
"Franco Angeli Edizioni",0,0,0,19,19
"IWA Publishing",15,16,19,0,19
"Kluwer Law International",0,0,19,0,19
"Kowsar Publishing Company",0,0,0,19,19
"Nova Science Publishers Inc.",0,0,0,19,19
"Now Publishers Inc.",0,0,0,19,19
"Open Science Publishers LLP",0,19,0,0,19
"PennWell Publishing Co.",0,0,0,19,19
"Russian Academy of Sciences",0,0,19,0,19
"Shahid Beheshti University of Medical Sciences",19,0,0,0,19
"Trans Tech Publications",0,0,19,0,19
"Turkiye Klinikleri",0,19,0,0,19
"UCL Press",0,0,19,0,19
"Universidad de Alicante",19,0,0,0,19
"Universidad do Vale de Rio dos Sinos (UNISINOS)",0,0,19,0,19
"Universidade Federal do Rio de Janeiro",19,0,0,0,19
"Universitas Indonesia",19,0,0,0,19
"University Of Anbar",0,19,0,0,19
"University of Victoria",0,0,19,0,19
"Vilnius Gediminas Technical University",18,19,0,0,19
"West Publishing Co.",0,0,0,19,19
"World Scientific and Engineering Academy and Society (WSEAS)",0,0,19,0,19
"American Association for the Advancement of Science",0,17,18,0,18
"De Boeck",0,0,0,18,18
"European Medical Journal",18,0,0,0,18
"Franz Steiner Verlag",0,0,0,18,18
"Fundacao Getulio Varagas (FGV)",0,0,18,0,18
"Gauthier-Villars",0,0,0,18,18
"Groupe d'Etudes et de Recherches pour le Francais Langue Internationale (GERFLINT)",18,0,0,0,18
"Hamad bin Khalifa University Press",0,0,18,0,18
"Izdatel'stvo Meditsina Publishers",0,0,0,18,18
"John Libbey Eurotext",0,18,0,0,18
"Karolinum Press",18,0,18,0,18
"KeAi Publishing Ltd",0,18,0,0,18
"National Research Council of Canada",0,18,0,0,18
"New Prairie Press",0,0,18,0,18
"Optica",0,0,18,0,18
"Quintessence Publishing Company",0,0,0,18,18
"Raven Press",0,0,0,18,18
"Science Publishing Corporation",0,0,18,0,18
"Slack, Inc.",0,0,0,18,18
"Smart Science and Technology",0,0,18,0,18
"Society for Industrial and Applied Mathematics",0,0,18,16,18
"Society for Industrial and Applied Mathematics Publications",0,18,0,0,18
"Universidad Externado de Colombia",0,0,18,0,18
"Universidad de Antioquia",18,0,0,0,18
"Universidad del Pais Vasco",0,0,18,0,18
"Universidade Federal do Espirito Santo",0,0,18,0,18
"Universidade de Coimbra",0,0,18,0,18
"Universitas Pendidikan Indonesia",18,0,0,0,18
"University of Ljubljana",0,0,18,0,18
"Verlag der Osterreichischen Akademie der Wissenschaften",0,0,18,0,18
"Academic and Business Research Institute",0,0,17,0,17
"Acta Scientific",0,17,0,0,17
"Alzahra University",17,0,0,0,17
"American Institute of Mathematical Sciences",0,0,0,17,17
"Bern Open Publishing",0,0,17,0,17
"Chinese Medical Association",0,0,0,17,17
"Dustri-Verlag Dr. Karl Feistle",0,0,0,17,17
"Editorial Ciencias Medicas",0,17,0,16,17
"European Alliance for Innovation (EAI)",17,0,0,0,17
"European Mathematical Society Publishing House",0,0,0,17,17
"Facultad de Humanidades y Ciencias de la Educacion",0,0,17,0,17
"Herbert Publications",0,17,0,0,17
"Hikari",0,0,17,0,17
"INFORMS",0,0,17,0,17
"Institute of Materials, Minerals and Mining (UK)",0,0,17,0,17
"International Press",0,0,17,0,17
"Internet Scientific Publications, LLC",0,17,0,0,17
"Maximum Academic Press",0,17,0,0,17
"Old City Publishing",0,0,17,0,17
"Penerbit UTM Press",0,17,0,0,17
"Sami Publishing Company (SPC)",0,17,0,0,17
"Scandinavian University Press/Universitetsforlaget",17,0,0,0,17
"Societa Italiana di Fisica",0,0,17,0,17
"Szczecin University Press",0,0,17,0,17
"Tsinghua University Press",0,17,0,0,17
"Universidade Federal de Goias",17,0,0,0,17
"Universitas Muhammadiyah Palangkaraya",0,17,0,0,17
"Universitas Negeri Surabaya",17,0,0,0,17
"Ural Federal University",0,17,0,0,17
"WSEAS Press",0,0,0,17,17
"Aalborg Universitetsforlag",0,0,16,0,16
"Adam Mickiewicz University",0,0,16,0,16
"Akademie Ved Ceske Republiky",0,0,0,16,16
"Allameh Tabataba'i University Press",16,0,0,0,16
"American Meteorological Society",0,0,0,16,16
"Boeck Universite",0,16,0,0,16
"Business Perspectives",0,0,16,0,16
"Computer Society",0,0,16,0,16
"DMG world Media Ltd",0,0,0,16,16
"Editura Medicala",0,0,0,16,16
"Infonomics Society",0,0,16,0,16
"Institut Agama Islam Negeri (IAIN) Curup",16,0,0,0,16
"NRC Research Press",0,0,0,16,16
"National University of Kyiv-Mohyla Academy",0,0,16,0,16
"Penton Media, Inc.",0,0,0,16,16
"Pontificia Universidad Catolica del Peru",16,0,0,0,16
"SAE",0,0,0,16,16
"Science China Press",0,0,16,0,16
"Tarbiat Modares University",0,16,0,0,16
"The Geological Society",0,0,16,0,16
"Universidad Nacional Mayor de San Marcos",0,0,16,0,16
"Universitat de Valencia",0,0,16,0,16
"Universitetsforlaget AS",0,16,0,0,16
"Universiti Malaysia Pahang Press",0,16,0,0,16
"University of Belgrade",0,0,16,0,16
"University of Isfahan",16,0,0,0,16
"WIT Press",0,16,0,0,16
"Adis",0,0,15,0,15
"Allen Press",0,0,0,15,15
"Atlantis Press",0,15,0,0,15
"CIC Edizioni International s.r.l.",0,0,0,15,15
"Centre for Research on Islamic Banking & Finance and Business",0,0,15,0,15
"Chinese Academy of Sciences",0,0,0,15,15
"Clute Institute",0,0,15,0,15
"Cogent OA",0,15,0,0,15
"Consultants Bureau",0,0,0,15,15
"Cosmos Scholars Publishing House",0,0,15,0,15
"De Gruyter Oldenbourg",0,15,0,0,15
"Dietrich Steinkopff Verlag",0,0,0,15,15
"Elyns Publishing Group",0,0,15,0,15
"Enliven Archive",0,0,15,0,15
"Fabrizio Serra Editore",0,0,0,15,15
"Faculty of Arts",0,0,15,0,15
"Galenos Yayincilik",0,15,0,0,15
"Harwood Academic Publishers",0,0,0,15,15
"Institution of Engineers (India)",0,0,0,15,15
"Japan Society of Mechanical Engineers/Nihon Kikai Gakkai",0,0,0,15,15
"Kamla-Raj Enterprises",0,0,15,0,15
"Martinus Nijhoff Publishers",0,15,0,0,15
"Pacini Editore SpA",0,0,0,15,15
"Panstwowe Wydawnictwo Naukowe",0,0,0,15,15
"Scientific and Technical research Council of Turkey - TUBITAK/Turkiye Bilimsel ve Teknik Arastirma Kurumu",0,0,0,15,15
"Synergy Publishers",0,15,0,0,15
"US Department of Health and Human Services",0,0,0,15,15
"Universidad Autonoma de Madrid",15,0,0,0,15
"Universidad Pedagogica y Tecnologica de Colombia",0,0,15,0,15
"Universidad Santo Tomas",0,0,15,0,15
"Universidad de Navarra",0,0,15,0,15
"Universita degli Studi di Torino",15,0,0,0,15
"University of Pennsylvania Press (Penn Press)",0,0,15,0,15
"Wichtig Publishing",0,0,0,15,15
"World Textile Publications Ltd",0,0,0,15,15
"Zibeline International",15,0,0,0,15
