PUBLISHER_NAME	PUBLISHER_FILENAME	PUBLISHER_MODE	PUBLISHER_URL	PUBLISHER_PAGES	PUBLISHER_PAGES_NR	PUBLISHER_RESULTS_NODE	PUBLISHER_RESULTS_REGEX	PUBLISHER_RESULTS_ADDCODE_YESNO	PUBLISHER_RESULTS_ADDITIONAL_CODE	PUBLISHER_RESULTS_PER_PAGE	PUBLISHER_PAGE_URL_BEFORE	PUBLISHER_PAGE_URL_AFTER	PUBLISHER_PAGE_I	JOURNALNAME_CSS	JOURNALNAMES_ADDCODE_YESNO	JOURNALNAMES_ADDITIONAL_CODE	JOURNAL_URL_NODES	JOURNALURL_ADDCODE_YESNO	JOURNALURL_ADDITIONAL_CODE	JOURNALURL_PASTE	COMMENT	OTHER
Hans Publishers	hans	rvest	https://www.hanspub.org/JournalsbyTitle.htm	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.mediabox > ul > li a.journallb	0	NA	div.mediabox > ul > li a.journallb	0	NA	https:	fine	NA
IEEE	ieee	RSelenium	NA	MULTIPLE	3	NA	NA	0	NA	NA	https://ieeexplore.ieee.org/browse/periodicals/title?rowsPerPage=100&pageNumber=	NA	i	h2	0	NA	h2 > a	0	NA	https://ieeexplore.ieee.org	fine	(some problem with fulldata <- do.call, pertaining to publisher and Sys.Date())
IGI Global Publishing	igi	rvest	https://www.igi-global.com/search/?ctid=2&dt=complete-listing%2ccurrently-available	MULTIPLE	UNKNOWN	#ctl00_ctl00_cphMain_cphSection_lblResultCount	(?<=: ).*$	0	NA	25	https://www.igi-global.com/search/?ctid=2&dt=complete-listing%2ccurrently-available&pg=	NA	i	#titleLink	0	NA	a#Link	0	NA	https://www.igi-global.com	fine	NA
iMedPub	imed	rvest	https://www.imedpub.com/journals.php	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.card-body > ul > li	0	NA	div.card-body > ul > li > a	0	NA	NA	fine	OMIT_ALL_UNIQUE
Intellect Books	intellect	rvest	NA	MULTIPLE	7	NA	NA	0	NA	NA	https://www.intellectbooks.com/journals/all-titles?page=	NA	i	span.book-item-title	0	NA	a.book-item-link	0	NA	https://www.intellectbooks.com	fine	NA
IOP Publishing	iop	rvest	https://ioppublishing.org/publications/our-journals/	single	single	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	COMPLICATED (CROSSREF CODE DUE TO ISSN-ONLY)	NA
IOS Press	ios	rvest	https://www.iospress.nl/catalogue/journals/	MULTIPLE	UNKNOWN	#block-rocketship-theme-starter-content > article > div > div.layout--rs-content.layout.layout-section.layout--label-body > div > div > div > div > div > div > details > div > div > div > div:nth-child(3) > div > div > ul > li:nth-child(4) > a > span.facet-item__count	[[:digit:]]+	0	NA	12	https://www.iospress.com/catalog?f%5B0%5D=type%3Ajournal&page=	NA	i-1	div.content h2 > a	0	NA	div.content h2 > a	0	NA	https://www.iospress.com	fine	NA
John Hopkins University Press	jhu	rvest	https://www.press.jhu.edu/journals/browse	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.view-content > div.views-row > a	0	NA	div.view-content > div.views-row > a	0	NA	https://www.press.jhu.edu	fine	NA
John Benjamins	jb	rvest	https://benjamins.com/catalog/serials/current	single	single	NA	NA	0	NA	NA	NA	NA	NA	h1.bktitle > a	1	"journalnames <- gsub(""\n"", "":"", journalnames); journalnames <- stringr::str_squish(journalnames)"	h1.bktitle > a	0	NA	https://benjamins.com/	fine	NA
Cambridge University Press	cup	rvest	https://www.cambridge.org/core/what-we-publish/journals	single	single	NA	NA	0	NA	NA	NA	NA	NA	ul.listings div.large-8 a.title	0	NA	ul.listings > li > div.row > div.large-8 > a	0	NA	https://www.cambridge.org	fine	NA
Brill	brill	rvest	https://brill.com/browse?et=journal&pageSize=10&sort=datedescending	MULTIPLE	UNKNOWN	#resultTotal	.*	0	NA	100	https://brill.com/browse?et=journal&pageSize=100&sort=datedescending&page=	NA	i	div.typography-body.text-headline.color-primary > a.c-Button--link	0	NA	div.typography-body.text-headline.color-primary > a.c-Button--link	0	NA	https://brill.com	fine	SESSION_REQUIRED
Emerald	emerald	rvest	NA	MULTIPLE	32	NA	NA	0	NA	NA	https://www.emeraldgrouppublishing.com/products/journals/find-a-journal?searchfor=&tid=All&starts_with=&field_open_access_value_1=0&sort_by=title&page=	NA	i-1	div.journal-grid__title	0	NA	div.journal-grid__link > a	0	NA	https://www.emeraldgrouppublishing.com	fine	NA
Frontiers	frontiers	RSelenium	https://www.frontiersin.org/journals?domain=all	single	single	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	COMPLICATED (COMPOSITE NAMES)	NA
Hindawi	hindawi	rvest	https://www.hindawi.com/journals/	single	single	NA	NA	0	NA	NA	NA	NA	NA	#journalSection h3	0	NA	#journalSection a.sc-htpNat	0	NA	https://www.hindawi.com	fine	NA
Royal Society of Chemistry	rsc	rvest	https://www.rsc.org/journals-books-databases/about-journals/journals-a-z/	single	single	NA	NA	0	NA	NA	NA	NA	NA	figcaption	0	NA	figcaption a	0	NA	https://www.rsc.org	fine	NA
SAGE	sage	rvest	NA	MULTIPLE	13	NA	NA	0	NA	NA	https://journals.sagepub.com/action/showPublications?pageSize=100&startPage=	NA	i-1	#browsePublicationsForm > table td > a	0	NA	#browsePublicationsForm > table td > a	0	NA	https://journals.sagepub.com	fine	NA
MDPI	mdpi	rvest	https://www.mdpi.com/about/journals	single	single	NA	NA	NA	NA	NA	NA	NA	NA	.journal-name-cell > a > div	0	NA	.journal-name-cell > a	0	NA	https://www.mdpi.com	fine	NA
InderScience	inderscience	rvest	https://www.inderscience.com/	single	single	NA	NA	NA	NA	NA	NA	NA	NA	a.dropdown-item	0	NA	a.dropdown-item	0	NA	NA	fine	NA
Wolters Kluwer	lww	RSelenium	https://journals.lww.com/pages/journals.aspx	single	single	NA	NA	0	NA	NA	NA	NA	NA	h3.lp-a-z-journals__card-title	0	NA	a.lp-a-z-journals__card-body	0	NA	NA	fine	NA
Karger	karger	rvest	https://www.karger.com/Journal/IndexListAZ	single	single	NA	NA	0	NA	NA	NA	NA	NA	#mainContent div.destinations > ul > li	1	journalnames <- stringr::str_squish(journalnames)	#mainContent div.destinations > ul > li > a	0	NA	https://www.karger.com/	fine	NA
KeAi	keai	rvest	http://www.keaipublishing.com/en/journals/	single	single	NA	NA	0	NA	NA	NA	NA	NA	ul.list-unstyled > li.mb-1 > a	0	NA	ul.list-unstyled > li.mb-1 > a	0	NA	https://www.keaipublishing.com	fine	NA
Akademiai Kiado	kiado	rvest	https://akademiai.hu/9/journals/	single	single	NA	NA	0	NA	NA	NA	NA	NA	li.last > h4 > a	0	NA	li.last > h4 > a	0	NA	NA	fine	NA
Mary Ann Liebert	liebert	rvest	https://home.liebertpub.com/publications/by-type/journals-print-online/714/	single	single	NA	NA	0	NA	NA	NA	NA	NA	body > main > div > div:nth-child(2) h4	1	"journalnames <- trimws(journalnames); journalnames <- gsub(""\\s\\s+"", "": "", journalnames)"	body > main > div > div:nth-child(2) h4 > a	0	NA	https://home.liebertpub.com	fine	NA
Medcrave	medcrave	rvest	https://medcraveonline.com/journals	single	single	NA	NA	0	NA	NA	NA	NA	NA	"a[title=""Click view Journal""]"	0	NA	"a[title=""Click view Journal""]"	0	NA	https://medcraveonline.com	fine	NA
Medknow	medknow	rvest	https://www.medknow.com/journals.asp?tag=0	MULTIPLE	UNKNOWN	#content_inner > div:nth-child(3)	.*?(?=Last)	1	"results <- stringr::str_extract(results, "".{15,15}$""); results <- stringr::str_extract(results, ""(?<=pg=).*?(?=\"")"")"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	COMPLICATED	NA
Nauka	nauka	rvest	https://www.libnauka.ru/elektronnii-katalog/	MULTIPLE	9	NA	NA	0	NA	NA	https://www.libnauka.ru/elektronnii-katalog/?PAGEN_1=	NA	i	div.block-themes-category.block-themes-category-elems .edition__title	0	NA	div.block-themes-category.block-themes-category-elems .edition__title > a	0	NA	https://www.libnauka.ru	fine	RUSSIAN_ENCODING
Nova Science	nova	rvest	https://novapublishers.com/product-category/journals/	MULTIPLE	UNKNOWN	p.woocommerce-result-count:nth-child(3)	(?<=of ).*?(?= )	0	NA	16	https://novapublishers.com/product-category/journals/page/	/	i	h2.woocommerce-loop-product__title	0	NA	li.product > a	0	NA	NA	fine	NA
Oxford University Press	oup	rvest	https://academic.oup.com/journals/pages/journals_a_to_z	single	single	NA	NA	0	NA	NA	NA	NA	NA	.secondaryContent a	1	journalnames <- journalnames[nchar(journalnames) > 1]	.secondaryContent a	1	journalurl <- journalurl[nchar(journalurl) > 2]	NA	fine	OMIT_ALL_UNIQUE
PAGEPress	pagepress	rvest	https://www.pagepressjournals.org/public/news/journals.html	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.RichTextElement > div > ul > li > a	0	NA	div.RichTextElement > div > ul > li > a	0	NA	NA	fine	NA
